"Title","Year","Description","Directors","Collections","Duration","Actors"
"Clash By Night (1952)","1952","Mae Doyle (Barbara Stanwyck) is a good-time girl, but now times are bad. Weary of too much booze and too many men, she returns to her girlhood home, the fishing town of Monterey, California. There she finds security as the wife of a devoted and dull fisherman (Paul Douglas) . . . and passion in the arms of his dangerously volatile best friend (Robert Ryan). Film noir master Fritz Lang directs a powerhouse cast—including rising star Marilyn Monroe—in this stark tale (adapted from a Clifford Odets play) of turbulent lives roiled by passion and desperation.<LF>","Fritz Lang","Criterion","1:44:54","Barbara Stanwyck; Paul Douglas; Robert Ryan; Marilyn Monroe"
"Cook, the Thief, His Wife & Her Lover, The (1989)","1989","Peter Greenaway found unexpected mainstream success with this simultaneously seductive and shocking tale of sex, food, and violence. Fed up with her husband’s boorish lifestyle, the wife (Helen Mirren) of a barbaric crime boss (Michael Gambon) enters into a torrid, secret romance with a bookish stranger (Alan Howard) between meals at her husband’s restaurant—setting the stage for a deliciously perverse drama of Jacobean revenge. A banquet of slashing wit and lavish grotesquerie, THE COOK, THE THIEF, HIS WIFE & HER LOVER stands as perhaps the most audacious provocation from one of cinema’s most uncompromising masters.","Peter Greenaway","Criterion","2:04:13","Michael Gambon; Helen Mirren; Richard Bohringer; Alan Howard"
"Counterfeit Kunkoo (2018)","2018","In this socially incisive look at the struggle of women in contemporary India, a young woman flees an abusive marriage only to find herself faced with a new challenge: finding an apartment in a city where renting as a single woman is no easy feat.<LF>","Reema Sengupta","Criterion","15:08","Kani Kusruti; Vijay Varma"
"Court Jester, The (1956)","1956","Classic Hollywood’s clown prince Danny Kaye received one of his finest showcases with this rollicking adventure comedy, in which he plays a carnival performer in medieval England who goes undercover as a court jester to infiltrate the royal castle and help restore the rightful king to the throne. A frenetic spoof of the Errol Flynn–style swashbuckler, this raucous Technicolor romp features some of Kaye’s most brilliantly inventive routines, including his classic tongue twister “the pellet with the poison.”<LF>","Melvin Frank; Norman Panama","Criterion","1:41:13","Danny Kaye; Glynis Johns; Angela Lansbury"
"Cries and Whispers (1972)","1972","This existential wail of a drama concerns two sisters, Karin (Ingrid Thulin) and Maria (Liv Ullmann), keeping vigil for a third, Agnes (Harriet Andersson), who is dying of cancer and can find solace only in the arms of a beatific servant (Kari Sylwan). An intensely felt film that is one of Bergman’s most striking formal experiments, CRIES AND WHISPERS (which won an Oscar for the extraordinary color photography by Sven Nykvist) is a powerful depiction of human behavior in the face of death, positioned on the borders between reality and nightmare, tranquility and terror.<LF>","Ingmar Bergman","Criterion","1:31:15","Harriet Andersson; Kari Sylwan; Ingrid Thulin"
"Days of Heaven (1978)","1978","One-of-a-kind filmmaker-philosopher Terrence Malick has created some of the most visually arresting films of the twentieth century, and his glorious period tragedy DAYS OF HEAVEN, featuring Oscar-winning cinematography by Nestor Almendros, stands out among them. In 1910, a Chicago steelworker (Richard Gere) accidentally kills his supervisor, and he, his girlfriend (Brooke Adams), and his little sister (Linda Manz) flee to the Texas panhandle, where they find work harvesting wheat in the fields of a stoic farmer (Sam Shepard). A love triangle, a swarm of locusts, a hellish fire-Malick captures it all with dreamlike authenticity, creating a timeless American idyll that is also a gritty evocation of turn-of-the-century labor.<LF>","Terrence Malick","Criterion","1:34:07","Richard Gere; Brooke Adams; Sam Shepard"
"Dear Zachary: A Letter to a Son About His Father (2008)","2008","This gut-wrenching documentary tells the story of a devastating family tragedy in the form of a heartfelt home movie. On November 5, 2001, Dr. Andrew Bagby was murdered in a parking lot in western Pennsylvania; the prime suspect, his ex-girlfriend Dr. Shirley Turner, promptly fled the United States for Canada, where she announced that she was pregnant with Andrew’s child. She named the little boy Zachary. When filmmaker Kurt Kuenne, Andrew’s oldest friend, begins making a film for little Zachary as a way for him to get to know the father he’d never meet, it’s the beginning of a wrenching, endlessly twisting odyssey that leads where no one could have foreseen.<LF>","Kurt Kuenne","Criterion","1:34:15",""
"Decameron, The (1971)","1971","Pier Paolo Pasolini weaves together a handful of Giovanni Boccaccio’s fourteenth-century moral tales in this picturesque free-for-all. THE DECAMERON explores the delectations and dark corners of an earlier and, as the filmmaker saw it, less compromised time. Among the chief delights are a young man’s exploits with a gang of grave robbers, a flock of randy nuns who sin with a strapping gardener, and Pasolini’s appearance as a pupil of the painter Giotto, at work on a massive fresco. One of the director’s most popular films, THE DECAMERON, trans¬posed to Naples from Boccaccio’s Florence, is a cutting takedown of the pieties surrounding religion and sex.<LF><LF>-200ms","Pier Paolo Pasolini","Criterion","1:51:22","Franco Citti; Ninetto Davoli; Jovan Jovanovic"
"Devil’s Backbone, The (2001)","2001","One of the most personal films by Guillermo del Toro, THE DEVIL’S BACKBONE is also among his most frightening and emotionally layered. Set during the final week of the Spanish Civil War, it tells the tale of a twelve-year-old boy who, after his freedom-fighting father is killed, is sent to a haunted rural orphanage full of terrible secrets. Del Toro expertly combines gothic ghost story, murder mystery, and historical melodrama in a stylish mélange that, like his later PAN’S LABYRINTH, reminds us the scariest monsters are often the human ones.<LF>","Guillermo del Toro","Criterion","1:47:52","Marisa Paredes; Eduardo Noriega; Federico Luppi"
"Diabolique (1955)","1955","Before PSYCHO, PEEPING TOM, and REPULSION, there was DIABOLIQUE. This thriller from Henri-Georges Clouzot, which shocked audiences in Europe and the U.S., is the story of two women, the fragile wife and the willful mistress of the sadistic headmaster of a boys’ boarding school, who hatch a daring revenge plot. With its unprecedented narrative twists and terrifying images, DIABOLIQUE is a heart-grabbing benchmark in horror filmmaking, featuring outstanding performances by Simone Signoret, Véra Clouzot, and Paul Meurisse.<LF><LF>Diabolique (variously translated as The Devils or The Fiends) is a 1955 French psychological horror thriller film directed by Henri-Georges Clouzot, starring Simone Signoret, Véra Clouzot, Paul Meurisse and Charles Vanel. It is based on the novel She Who Was No More (Celle qui n'était plus) by Pierre Boileau and Thomas Narcejac.<LF><LF>The story blends elements of thriller and horror, with the plot focusing on a woman and her husband's mistress who conspire to murder the man; after the crime is committed, however, his body disappears, and a number of strange occurrences ensue. The film was the 10th-highest grossing film of the year in France, with a total of 3,674,380 admissions. The film also received the 1954 Louis Delluc Prize.<LF><LF>Clouzot, right after finishing The Wages of Fear, optioned the screenplay rights, preventing Alfred Hitchcock from making the film. This movie helped inspire Hitchcock's Psycho. Robert Bloch himself, the author of the novel Psycho, has stated in an interview that his all-time favorite horror film is Les Diaboliques.","Henri-Georges Clouzot","Criterion","1:57:48","Simone Signoret; Véra Clouzot; Paul Meurisse; Charles Vanel"
"Diary of a Chambermaid (1964)","1964","This wicked adaptation of the Octave Mirbeau novel is classic Luis Buñuel. Jeanne Moreau is Celestine, a beautiful Parisian domestic who, upon arrival at her new job at an estate in provincial 1930s France, entrenches herself in sexual hypocrisy and scandal with her philandering employer (Buñuel regular Michel Piccoli). Filmed in luxurious black-and-white Franscope, DIARY OF A CHAMBERMAID is a raw-edged tangle of fetishism and murder—and a scathing look at the burgeoning French fascism of the era.","Luis Buñuel","Criterion","1:37:49","Jeanne Moreau; Michel Piccoli"
"Diva (1981)","1981","Jean-Jacques Beineix’s hyper-stylish cult thriller follows a young postman (Frédéric Andréi) as he is ensnared in a sinister conspiracy involving two secret recordings: one an illicit tape of an opera singer whose voice has never been recorded, the other the bombshell confessions of a murdered sex worker. Marrying a whiz-bang comic-book plot with a dazzling, pop-art visual style, DIVA became an art-house sleeper sensation that announced the arrival of the ultra-cool cinéma du look movement in French film.<LF><LF>-350ms","Jean-Jacques Beineix","Criterion","1:56:47","Frédéric Andréi; Wilhelmenia Wiggins Fernandez; Thuy An Luu"
"Don Juan (or If Don Juan Were a Woman) (1973)","1973","For what was to become her last feature, Brigitte Bardot teamed up once again with the man who made her famous, Roger Vadim. Bardot plays Jeanne, a proud destroyer of men who lives on board an ultra-mod submarine. As Jeanne confesses her sexual conquests to a priest, one can't help but see Bardot as the sex symbol whose public persona was so often synonymous with the characters she portrayed.<LF>","Roger Vadim","Criterion","1:35:19","Brigitte Bardot"
"Dr. Strangelove (1964)","1964","Stanley Kubrick’s painfully funny take on Cold War anxiety is one of the fiercest satires of human folly ever to come out of Hollywood. The matchless shape-shifter Peter Sellers plays three wildly different roles: Royal Air Force Captain Lionel Mandrake, timidly trying to stop a nuclear attack on the USSR ordered by an unbalanced general (Sterling Hayden); the ineffectual and perpetually dumbfounded U.S. President Merkin Muffley, who must deliver the very bad news to the Soviet premier; and the titular Strangelove himself, a wheelchair-bound presidential adviser with a Nazi past. Finding improbable hilarity in nearly every unimaginable scenario, DR. STRANGELOVE, OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB is a subversive masterpiece that officially announced Kubrick as an unparalleled stylist and pitch-black ironist.","Stanley Kubrick","Criterion","1:44:55","Peter Sellers; George C. Scott; Sterling Hayden"
